Description,Code,C %,Si %,Mn %,S%,P%,Cr %,Ni %,Mo %,Cu %,Cost $/Kg,,
High C alloy Hammer,FS1160,0.541,0.339,0.748,0.005,0.012,1.287,2.759,0.501,0.081,0,,
Stainless Steel  18-8,FS1301,0,0,0,0,0,0,0,0,0,0,,
409 S/S  (Hammers),FS1303,0.169,0.857,0.989,0.009,0.021,10.652,0.096,0.015,0.04,0,,
304SS Scrap,FS1304,0.0305,0.28,1.58,0.003,0.023,18.15,8.3,0.34,0.305,0,,
SS Punchings,FS1306,0.08,1,2,0.03,0.045,19,8,0,0,0,,
316 SS,FS1225,0.04,0.6,1,0.003,0.05,17.5,10.2,2.2,0.36,0,,
BANDS FS1010,FS1010,0.08,0.1,0.25,0.0091,0.0092,0.0154,0.007,0.0016,0.0116,0,,
Blue Mild Steel,FS1020,0.3031,0.4206,0.7246,0.0327,0.0283,0.0199,0.0399,0.0057,0.0727,0,,
Iron Remelt,FS1045,0.003,0.01,0.12,0,0.009,0.01,0.01,0,0.02,0,,
17% Chrome Mill Balls,FS1070,1.924,0.733,0,0.024,0.023,17.123,0,0.01,0,0,,
CT089 Manganese Hammer Scrap,FS1130,1.17,0.5,13,0,0,0.7,0,0.7,0,0,,
Deck Plate,FS1015,0,0,0,0,0,0,0,0,0,0,,
86/30 Scrap (Lip),FS1050,0.374,0.3544,0.5704,0.0151,0.0214,1.198,0.1488,0.1796,0.057,0,,
EBE Roll Shell Scrap,FS1210,0.7,0.4,0.8,0.03,0.03,2,0,0.4,0,0,,
Cast Iron High Phos,FS1400,1.17,0.5,13,0,0,0.7,0,0.7,0,0,,
Anvil,FS1100,0.8,0.7103,12.77,0.008,0.0362,0.7,0,0.7565,0,0,,
Trackpads,FS1020,0.2759,0.2154,1.2551,0.0089,0.0123,0.6591,0.0294,0.0021,0.0133,0,,
Silicon Washout 1,SiW1,0.29,2.7,0,0,0,0.65,0,0,0.4,0,,
Silicon Washout 2,SiW2,0,0,0,0,0,0,0,0,0,0,,
Silicon Washout 3,SiW3,0,0,0,0,0,0,0,0,0,0,,
Silicon Washout 4,SiW4,0,0,0,0,0,0,0,0,0,0,,
Inconel600,I600,0,1.35,1.329,0,0,8.62,76.46,1.785,0,0,,
SG1 Scrap,FS1307,3.5,2.7,0.5,0.015,0.025,0,0,0,0,0,,
Silicon Steel,FS1010-20,0.01,3.2,0.09,0.01,0.02,0.1,0.01,0.01,0.1,0,,
Duplex 2205,FS1222,0.06,1.8,1.6,0.05,0.05,18,5,0.5,0.5,0,,
Auste Flights LC,FS1120,0.75,0.58,12.9,0.01,0.05,0.2,0,0.12,0.03,0,,
Caterpillar SG Iron Scrap,FS1309,3.6,2.6,0.8,0.02,0.05,0.2,0.1,0.1,0.1,0,,
Kitkat Auste Liner,FS1141,1.17,0.86,19,0.015,0.06,1.9,0.02,0.03,0.07,0,,
29-20 Flap Valve,FS1305A,0.35,1,1,0.02,0.02,29,20,0,0,0,,
18-2-1 Plates,FS1064,2.87,0.61,0.68,0.03,0.02,19.83,0.25,1.7,0.8,0,,
27% CI Ring Segments,FS1063,2.9,0.71,0.66,0.03,0.02,23.5,0.61,0.05,0.15,0,,
21% CI Wear Plates,FS1062,2.8,1.32,0.91,0.014,0.025,23.6,0.48,0.33,0.04,0,,
13% Cl Wear blocks,FS1061,0.91,0.37,0.42,0.02,0.03,13.8,0.09,0.02,0.02,0,,
