,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Deoxidation,,,,,,,,,,,,,
,,,,,,,,,,,,,,Furnace,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Furmace
,,,,,,,,,,,,,,Aluminium,Aluminium,Hypercal,Fe-Se,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Fe-B,Aluminium,Mg-Fe-Si,Barinoc,Superseed,Fe-Ti7O,Iron Pyrite
Description,Code,C_Aim,Si_Aim,Mn_Aim,S_Aim,P_Aim,Cr_Aim,Ni_Aim,Mo_Aim,Cu_Aim,Al_Aim,V_Aim,Check,FA1240,FA1240,FA1364,FA1365,FA1190,FA1210,FA1180,FA1160,FA1240,FA1011,FA1070,FA1197,FA1180,
T150,149,3.45,1.8,0.7,0.08,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
G10,150,3.55,2.15,0.6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G20,151,3.35,1.9,0.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
G30,152,3.1,1.6,0.9,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
G50,153,2.95,1.7,1.1,0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G70,154,2.95,1.25,0.8,0.06,0,0.25,0,0.3,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingot Iron,155,3.35,1.7,0.6,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
SG1,156,3.6,1.75,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,1.75,0.6,0,0,0
SG2,157,3.6,1.9,0.65,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,1.75,0.6,0,0,0
SG3,158,3.45,1,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,2.0,0.5,0,0,0
Ni Mo C/I,159,3,2.3,0.9,0.06,0,0,1.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McNALLY C.I,160,2.95,1.45,0.65,0.06,0,0.5,0,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G50 1Cr,161,2.95,1.45,1.1,0.06,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.G.F,162,3.7,2,0.5,0,0,0,0,0,0.015,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.G.P,163,3.7,1.5,0.8,0,0,0.4,0,0.8,0.015,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
